"prefix","name","main_position","position","company","image_path"
"Br.","Armin Luistro","President","Adviser","De La Salle University","advisers-images/5edf3f871422dPykXVro5VDZbJ0I3xREZJm5lRf8JaLj4AQBizE5W.png"
"Dr.","Edilberto de Jesus","Incumbent President","Adviser","Asian Institute of Management","advisers-images/5edf3fe52a07cARpdBfoLJMjIlX7NY0P7b4iKKTsI31aJ6auIFsfz.png"
