"prefix","name","main_position","position","company","image_path"
"Mr.","Ramon del Rosario","President and CEO","Chairman","Phinma Inc.","our-leaderships-images/5edf3b0151f288zuiteu9wbVkQ4QzlqMmGdqUvn2XjmQoDfStw0qY.png"
"Mr.","Aurelio Montinola III","Chairman","Vice-chairman","Far Eastern University","our-leaderships-images/5edf3b5fdf964xQNFmv9z2C9EkNhibSroM5k9bWyrBNBtUR4bkiDO.png"
